,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,10000000000.0,0.0,0.0,112540675.98819917,0.0,0.0,-600216938.6037289,0.0,0.0,112540675.98819917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,-7000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,10000000000.0,0.0,0.0,112540675.98819917,0.0,0.0,-600216938.6037289,0.0,0.0,112540675.98819917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,112540675.98819917,0.0,0.0,30434896.747787345,0.0,0.0,-112540675.98819917,0.0,0.0,11767856.747787343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,1804480.5333333334,0.0,0.0,0.0,0.0,0.0,-1804480.5333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,112540675.98819917,0.0,0.0,30434896.747787345,0.0,0.0,-112540675.98819917,0.0,0.0,11767856.747787343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-600216938.6037289,0.0,0.0,-112540675.98819917,0.0,0.0,1464858696.7237542,0.0,0.0,35128456.01325003,0.0,0.0,-852446275.0443738,0.0,0.0,138522519.6947107,0.0,0.0,-12195483.075651336,0.0,0.0,9146612.306738503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,-7000000000.0,0.0,0.0,0.0,0.0,0.0,16826923076.923077,0.0,0.0,0.0,0.0,0.0,-8076923076.923078,0.0,0.0,0.0,0.0,0.0,-1750000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,-600216938.6037289,0.0,0.0,-112540675.98819917,0.0,0.0,1464858696.7237542,0.0,0.0,35128456.01325003,0.0,0.0,-852446275.0443738,0.0,0.0,138522519.6947107,0.0,0.0,-12195483.075651336,0.0,0.0,9146612.306738503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,112540675.98819917,0.0,0.0,11767856.747787343,0.0,0.0,35128456.01325003,0.0,0.0,72907591.58207786,0.0,0.0,-138522519.6947107,0.0,0.0,11740463.29654433,0.0,0.0,-9146612.306738503,0.0,0.0,4526579.2300538765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
